ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price
KXNOBELPEACE-25-VZEL,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-17 09:33:41.337778+00:00,0.16
KXPRESVISIT-26-RU,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-18 20:06:04.451429+00:00,0.33
KXPRESVISIT-26-UKR,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-19 06:47:42.697771+00:00,0.18
KXSECSTATEVISIT-26-RUS,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-15 15:31:21.772688+00:00,0.66
KXUKRAINERESIGN-26,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-19 06:39:15.552698+00:00,0.21
KXUKRIMPEACH-26,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-18 20:53:34.895831+00:00,0.12
KXWLEADER-25-VP,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-19 08:08:06.146376+00:00,0.84
KXELECTUKRAINE-26,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 18:44:29.011988+00:00,0.44
KXFRIDMAN-26JAN01-VP,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4
KXMARALAGO-26-VZ,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21
KXMOONMAN-31-R,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1
KXNOBELPEACE-25-VZEL,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-17 09:33:41.337778+00:00,0.16
KXPRESVISIT-26-RU,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 19:51:11.252711+00:00,0.32
