id,token_id,outcome_index,outcome_name,outcome_slug,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
506731,2.00431E+76,0,Yes,yes,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-16 21:00:19+00:00,0.001,2025-03-16 14:00:19-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-16 21:00:19+00:00,0.001,2025-03-16 14:00:19-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-18 05:53:09+00:00,0.001,2025-03-17 22:53:09-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-19 00:00:00+00:00,2025_03_18_close_1700_PT,2025-03-18 17:00:00-07:00,2025-03-18 05:53:09+00:00,0.001,2025-03-17 22:53:09-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-19 05:55:38+00:00,0.001,2025-03-18 22:55:38-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 23:31:53+00:00,0.001,2025-03-19 16:31:53-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 11:46:16+00:00,0.001,2025-03-20 04:46:16-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 13:25:30+00:00,0.001,2025-03-20 06:25:30-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-21 02:42:09+00:00,0.001,2025-03-20 19:42:09-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-22 00:00:00+00:00,2025_03_21_close_1700_PT,2025-03-21 17:00:00-07:00,2025-03-21 02:42:09+00:00,0.001,2025-03-20 19:42:09-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-22 12:00:00+00:00,2025_03_22_open_0500_PT,2025-03-22 05:00:00-07:00,2025-03-22 11:02:05+00:00,0.001,2025-03-22 04:02:05-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-23 00:00:00+00:00,2025_03_22_close_1700_PT,2025-03-22 17:00:00-07:00,2025-03-22 18:00:32+00:00,0.001,2025-03-22 11:00:32-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-23 12:00:00+00:00,2025_03_23_open_0500_PT,2025-03-23 05:00:00-07:00,2025-03-23 11:36:17+00:00,0.001,2025-03-23 04:36:17-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-24 00:00:00+00:00,2025_03_23_close_1700_PT,2025-03-23 17:00:00-07:00,2025-03-23 21:37:16+00:00,0.001,2025-03-23 14:37:16-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-24 12:00:00+00:00,2025_03_24_open_0500_PT,2025-03-24 05:00:00-07:00,2025-03-24 11:59:44+00:00,0.001,2025-03-24 04:59:44-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-25 00:00:00+00:00,2025_03_24_close_1700_PT,2025-03-24 17:00:00-07:00,2025-03-24 23:41:14+00:00,0.001,2025-03-24 16:41:14-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-25 12:00:00+00:00,2025_03_25_open_0500_PT,2025-03-25 05:00:00-07:00,2025-03-25 11:28:06+00:00,0.001,2025-03-25 04:28:06-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-26 00:00:00+00:00,2025_03_25_close_1700_PT,2025-03-25 17:00:00-07:00,2025-03-25 21:56:56+00:00,0.001,2025-03-25 14:56:56-07:00
506731,2.00431E+76,0,Yes,yes,2025-03-26 12:00:00+00:00,2025_03_26_open_0500_PT,2025-03-26 05:00:00-07:00,2025-03-25 21:56:56+00:00,0.001,2025-03-25 14:56:56-07:00
