condition_id,market_id_pm,request_id,prepared_block,init_block,init_tx,init_log_index
0x11097c3daad854876a8d9ef2abdd43dc327b5be1cb5f08b562c2d422d2b1e3d6,525377,0x036eb83bc0536c69fcc7f422d718994bd10010e4983428cff08e2e81afad8a2d,68407033,68407029,0xfa181a36f15c1717dfe89f3e9a212472ac7f8bd1938db0ccc6ae0b87f395dd93,465
0x7e8953cc66f9dabfe80fb0d1a9284bffb7a293f700b21027261fade58a082d73,525362,0x929c26d8c0596e65a015dc7c5f08c5cc319ed24cbed089c04bafb56ced84ebb4,68406860,68406857,0x1d79cf16f68bf778c1e413b81ad5f4b339f3f5cc16ab27db28cb7632bad19f3e,172
0xcc15be7879f727d6c306c24e987b5db3d63aeb59a8c7033e1ee4a765026dc2d7,525534,0xe6523310d70da449afa7f83ccac44f52131b44303a3e6c0ce4045f9cca337f47,68608709,68608705,0x760dd1023259bd1cccd074e978d86e66b4380be73a2ceaf870a9fcba2e244b7c,166
0x5f437a76e4e76fbe81b4269e5f8ffd98ade4751ec849baa0a68284723645904d,507866,0x04fcf58d9224becbc7297f485224dcf5d244500744861dc73becf1bddf567369,62225996,62225993,0x56d23394ddb84934b0f83bd4e1e6aa37c003711a87970635d6879a498bb38c75,140
0x994d6fe74741a1fa7e9a9d47fb066a143835d9c9d3fdda83a2302c0844d64837,525369,0x3774aa72c0a9bdc2ee65b53551a0fd4aaa5981a234c09024152d360c6e9b2cd4,68406955,68406950,0xecb01c18ff48b9ed4b75ade95b6c6304cfb9986e2e2ef1bbf00b3a88cf70b311,189
0x8469cd8e3fbb7cfbd313bcdb9ec7f269519993208ccd4371149fc141a9309437,525642,0x7ec8db592bc28aaecc2baa703a8f0defd543647108b9d437eaf92ae4bee652fe,68609064,68609059,0xf8a0cdb6718fa42cda3038d244e0dcff4c1d7339d5ad5b53128ae4e07baf3d4a,236
0x5e958663d5a4aefff6284798171d0b8d61cbb59c003b3b6d494fae585b2d6ad0,525630,0xe16d1c0cd798f9b5c10e4b6c370619299372eb303c0278e760adc39f49153dcd,68608731,68608728,0xa7d3cc197ca0480332dc91abd8658e7e32a6501afebd8552c0cb51f3fa2a7261,55
0x56e8cd19951bf3f7fb74866ba579db274ebbb11ccadcaed40cf45c028e403b9c,525363,0xa4fc5e78a4b3c6952f005a0fa97b6a2b5e9fcd2b0c9a7d76fa8b3e4b1ca6aa42,68406867,68406864,0x32441cdbbc0d1bfecda596d85a3ef2b8760be24324155bba8efefecfbac0471b,312
0x703cac2f85877a6640fb0e949776b59983442c46af8d263aa107e88e04d620a1,525367,0xa1f16b98f10096193c4925b6f5335aec6e36095c39260cdb7dc8e34d9de4737f,68406909,68406905,0x428a19061e79032d97fc73e40926e44b4cd33916ea8672e90f5ef000653719b2,220
0x9c60e608e40b658cf15c18b0aaaddda7c6614e66187ec4ecc34be6c8526ef16f,525361,0xfbda723cce9a7dff892cf2c0ca4c655194add3dc38d9d95afbc6fb69dc857b1b,68406847,68406843,0xecf1d1ae3863b76f104ec18c587f378e23dd09b827166706b2b2cdabd9d96ffc,187
0x4e2dd28f54a645ac62743a49116dfae0b6fd22ef4187ee2a340d1346ca612bcf,507869,0x4657eed95567548050b9e8c5d260045113f4327a40595e1c47a8343c6f1c3118,62226039,62226035,0xad76989b77e0246c432d24628c418954dd9933ea95a305c204c93f8f8f38d072,55
0x1073cc3483263763397b853cb095ac8451f7e26b5a94231b5973c14bf6e7a95a,525410,0x9f8689391052492e9a823f6bf24b3a10328295fcff200ffd1811d455ba3c7fcb,68407889,68407885,0x9c134a6b2cd53cc797bd78d32b16fe775885d585271da557c0d6306ecce3bbfd,327
0x794c65cfbadb39b11fe7b89c8994fcbe2678e562b0f9399fdeeaebcbc9fca093,509097,0x80fbbc09cf1e6763db9b7666ad6211b820f38df9582ab6d8875584170b39e93e,62788126,62788121,0xceb6d30cd2ef1b77b9cda3eed1a5da09cdc78d6133ab3470802f335e417bcf7a,292
0xf2ac47929c6f7112146b9de14f367b3e436953576acf78f9432835d30196b629,525532,0x73f19d05c106c29c0c991e7da5baccf709c76fb538e858f1b1309b814e96240a,68608685,68608682,0xad7eceb1226013ab12eede75ebc9e3112f756395d4e31dd24474406ee1bceacc,258
0xfcef9715d8ab758ceaf3e3b4513c3d593b3aa5fc124c1a7ad2d0d8a7ad25018a,525626,0x40c54aef736e5976b387f94c53dd22ee87ce772a12b00012ac11e3b3f8fc5b6f,68608683,68608680,0xdd8fed09c511aee305757e127c8f4a4e7be482bcbf37f844883951816abddedd,168
0xe3afb091ba0c2bd1d0660ac9256f37e0c7560b02eee15641c6cce6ceb62f3769,525358,0x825786f68cba7b0f9870da321718d6106d82c65a393532ae82336c137e7fb3e5,68406820,68406817,0x89688689720e6b6a8bfb0110f3a6c454e9f203349931ce43631d4d877a422970,445
0x86d89ba9a7cf636633bce9844a6e0eef07126f6bb3705aab1f5afa5d4851eb97,507872,0xe26f186ddde1893860ed1a38ef5eae8320409838386c274eb08ead7ee7767ed6,62226057,62226054,0xbf378ceb72491e8813ac7abb0c6dfafc21aa585c164cd7d35e5070ca5efbc18f,121
0xadc74c7282d955d2603b56ba7eee2831b295bb71596a056e46e5848b13562377,507873,0xc541908428714130e0b5f09f95e43bad08ee7bf3e8825bce64686b00100dedb5,62226067,62226064,0xa937af0b02446cb7ce8b8fff6c22257f57e6678420287a2445c05089e57fcd37,122
0x101de66e10fed9c9e44a516de28398b72d1bee3df9d5818914c9ddbfc24e7e8f,507875,0xcc43b16aef6f722d88ff46e19c9e1b9d094d864a4aed91eaa36be9c1c21c8e04,62226075,62226072,0x0d460feba86694f2c575c06afb3e3dfbdab3d7c9b2985b43abced2615fbe4e5d,100
0xf4472853ab134236dbfe4cd5f83fcbc60f62767b2a474a1c0b0ed3190d813084,507876,0xf8a7d878c82579140f2b349674cb67abd1aa280fba0ea76168627e7f7b5deacc,62226086,62226082,0x2c1a0221d9b1c0fe1226d453d7f2d37ba8acbe588ba8a3a7c9587f073facb64f,122
0xa9c3453deb9e9af9388cbb0ca7a9897d76d642aad0c47306d4d20a29c50a7ee0,509100,0xf0a55345cd04d02928347c5e0b7c2b491a16bc9a27fca0fa92fe1e25c45f96ac,62788170,62788167,0x2b905d1af671930894f2cffef1ca876144428b8cad597e0009f2eb119ffcc231,351
0x604e0a2c994985f63ca96608b76018319b55c784dc483c25c6092b3503500d4f,509101,0x6c9ab4b82f6def20b0d958a03a042fa4e53acb10051ee94e8241800d363dbae5,62788181,62788177,0x7f0a5d3b1bffa81697ee3b151c714be208a3e39e8ca816a49b3521594b719081,353
0x4b73d2b80fcc70e12ba15b7c7ebe0c0a05a425d9b0c7707b03d3ae918c0e4d4b,507882,0x362f91c691e67df79c35671a28ec8092ba0080b784086dce8654af3ad1c3bc20,62226135,62226129,0x7673ad622aa768976c5c10cedbde5dcf191f76350dad3b548ad90d796e00f0f9,1290
0x8836e8247fac979e52677de7403de29889202ba4daa129ded99dfa170d690d84,509102,0x7c09204e162fa7bc7781fb554f923d801f0760f564fa444c7ff5abefe0e20359,62788190,62788187,0xe04aba7efffc09ef3d1ca004d2461e356969569bba7ad97f90636515c3896d15,166
0xb3af306795f672a0bcaf4bd529ffa8343e88949bc74b098ccd2a0238ce676cd3,507883,0xd64a7f6711587f88be85d60e4f898caa661ca09247c6842bdd8dfbf2a032e683,62226149,62226145,0x63f35b9df275f858f6330a83b7fe5d093e86ae53bab168ae56fd901a16455566,497
0xfef1327c8a6dc7cfa05d24032ccca677077f10d1563062e7a4b6a3824908f29e,525401,0xed0ee8ced8ad2206223ef5a8ab1fbc150c0657adbb0c7d53b0d29bd4bfd8b416,68407808,68407804,0x5c2c2af3f11f344d4712efe17b9e5f5127142e880b08f8c4a00727fd2374b16f,291
