platform,category,market_key,event_key,status,volume,liquidity_or_oi,created_at,end_date,title,yes_sub_title,no_sub_title,slug
kalshi,direct_housing_data,FRM-22AUG04-T4.90,FRM-22AUG04,finalized,4337.0,2832.0,2022-07-30 06:49:03.356270-07:00,2022-08-04 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 4.90%?,Above 4.90%,4.90% or below,
kalshi,direct_housing_data,FRMMAX-22DEC29-P8.5,FRMMAX-22DEC29,finalized,4325.0,1345.0,2022-11-02 06:49:35.508756-07:00,2022-12-29 06:55:00-08:00,"Will the 30-year fixed rate mortgage rate reach above 8.5% by December 29, 2022?",Above 8.5%,8.5% or below,
kalshi,direct_housing_data,FRM-22JAN06-T3.11,FRM-22JAN06,finalized,4316.0,3250.0,2021-12-31 06:48:16.223356-08:00,2022-01-06 06:55:00-08:00,Will the **30-Year Fixed Rate Mortgage** rate be above 3.11%?,Above 3.11%%,3.11%% or below,
kalshi,direct_housing_data,FRM-22DEC22-T6.30,FRM-22DEC22,finalized,4281.0,2552.0,2022-12-16 06:14:34.599612-08:00,2022-12-22 08:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.30%?,Above 6.30%,6.30% or below,
kalshi,direct_housing_data,FRM-21OCT21-T3.05,FRM-21OCT21,finalized,4276.0,1001.0,2021-10-14 07:06:49.544832-07:00,2021-10-20 17:00:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 3.05%?,Above 3.05%%,3.05%% or below,
kalshi,direct_housing_data,FRM-23JAN19-T6.2,FRM-23JAN19,finalized,4203.0,3002.0,2023-01-13 06:40:54.483712-08:00,2023-01-19 08:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.2%?,Above 6.2%,6.2% or below,
kalshi,direct_housing_data,FRM-22JUL28-T5.60,FRM-22JUL28,finalized,4158.0,3883.0,2022-07-22 06:51:03.125071-07:00,2022-07-28 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.60%?,Above %,% or below,
kalshi,direct_housing_data,FRMMAX-22DEC29-P5.5,FRMMAX-22DEC29,finalized,4155.0,2364.0,2022-05-16 06:39:23.904729-07:00,2022-06-17 10:03:22.118612-07:00,"Will the 30-year fixed rate mortgage rate reach above 5.5% by December 29, 2022?",Above 5.5%,5.5% or below,
kalshi,direct_housing_data,FRM-22APR21-T5.05,FRM-22APR21,finalized,4124.0,2333.0,2022-04-15 06:21:28.482075-07:00,2022-04-21 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.05%?,Above 5.05%%,5.05%% or below,
kalshi,direct_housing_data,FRM-22MAY19-T5.31,FRM-22MAY19,finalized,4108.0,2962.0,2022-05-12 08:13:12.682137-07:00,2022-05-19 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.31%?,Above 5.31%%,5.31%% or below,
kalshi,direct_housing_data,FRM-22MAR24-T4.16,FRM-22MAR24,finalized,4030.0,2945.0,2022-03-19 06:53:02.737652-07:00,2022-03-24 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 4.16%?,Above 4.16%%,4.16%% or below,
kalshi,direct_housing_data,FRM-22NOV10-T7.10,FRM-22NOV10,finalized,3975.0,1897.0,2022-11-04 06:20:21.246236-07:00,2022-11-10 06:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 7.10%?,Above 7.10%,7.10% or below,
kalshi,direct_housing_data,HOME-21JUN-T750,HOME-21JUN,finalized,3952.0,2259.0,2021-06-30 06:49:48.639556-07:00,2021-07-25 16:00:00-07:00,"Will new U.S. home sales be above 750,000?","Above 750,000","750,000 or below",
kalshi,direct_housing_data,FRM-22SEP01-T5.80,FRM-22SEP01,finalized,3906.0,3148.0,2022-08-26 06:40:04.799057-07:00,2022-09-01 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.80%?,Above 5.80%,5.80% or below,
kalshi,direct_housing_data,FRM-22JUL07-T5.50,FRM-22JUL07,finalized,3887.0,2891.0,2022-07-01 07:29:52.646593-07:00,2022-07-07 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 5.50%?,Above 5.50%%,5.50%% or below,
kalshi,direct_housing_data,FRM-22APR28-T5.18,FRM-22APR28,finalized,3839.0,1747.0,2022-04-24 06:45:57.772313-07:00,2022-04-28 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.18%?,Above 5.18%%,5.18%% or below,
kalshi,direct_housing_data,FRM-22FEB10-T3.55,FRM-22FEB10,finalized,3826.0,3054.0,2022-02-04 06:52:28.209367-08:00,2022-02-10 06:55:00-08:00,Will the **30-Year Fixed Rate Mortgage** rate be above 3.55%?,Above 3.55%%,3.55%% or below,
kalshi,direct_housing_data,FRM-22DEC22-T6.20,FRM-22DEC22,finalized,3809.0,1488.0,2022-12-16 06:14:34.599612-08:00,2022-12-22 08:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.20%?,Above 6.20%,6.20% or below,
kalshi,direct_housing_data,FRM-21AUG05-T2.82,FRM-21AUG05,finalized,3795.0,3115.0,2021-07-29 09:45:08.015838-07:00,2021-08-04 17:00:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 2.82%?,Above 2.82%%,2.82%% or below,
kalshi,direct_housing_data,FRM-22JUN16-T5.26,FRM-22JUN16,finalized,3790.0,2539.0,2022-06-10 06:31:20.200016-07:00,2022-06-16 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.26%?,Above 5.26%%,5.26%% or below,
kalshi,direct_housing_data,FRMMAX-24JUN27-P7.4,FRMMAX-24JUN27,finalized,3692.0,2010.0,2024-03-25 08:48:10.549891-07:00,2024-06-27 06:55:00-07:00,"Will the 30-year fixed rate mortgage rate reach above 7.4% by June 27, 2024?",Above 7.4%,7.4% or below,
kalshi,direct_housing_data,FRM-22JUL14-T5.20,FRM-22JUL14,finalized,3691.0,3654.0,2022-07-08 06:27:32.675681-07:00,2022-07-14 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.20%?,Above 5.20%%,5.20%% or below,
kalshi,direct_housing_data,FRM-22SEP29-T6.55,FRM-22SEP29,finalized,3612.0,1731.0,2022-09-23 06:25:15.755269-07:00,2022-09-29 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.55%?,Above 6.55%,6.55% or below,
kalshi,direct_housing_data,FRM-22DEC22-T6.40,FRM-22DEC22,finalized,3601.0,1797.0,2022-12-16 06:14:34.599612-08:00,2022-12-22 08:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.40%?,Above 6.40%,6.40% or below,
kalshi,direct_housing_data,FRM-22DEC22-T6.35,FRM-22DEC22,finalized,3580.0,2155.0,2022-12-16 06:14:34.599612-08:00,2022-12-22 08:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.35%?,Above 6.35%,6.35% or below,
kalshi,direct_housing_data,FRM-22APR14-T4.75,FRM-22APR14,finalized,3561.0,2506.0,2022-04-09 06:44:19.689460-07:00,2022-04-14 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 4.75%?,Above 4.75%%,4.75%% or below,
kalshi,direct_housing_data,FRM-21OCT14-T2.99,FRM-21OCT14,finalized,3544.0,2450.0,2021-10-07 08:04:17.319228-07:00,2021-10-13 17:15:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 2.99%?,Above 2.99%%,2.99%% or below,
kalshi,direct_housing_data,FRM-22OCT06-T6.75,FRM-22OCT06,finalized,3521.0,1438.0,2022-09-30 06:22:47.163514-07:00,2022-10-06 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.75%?,Above 6.75%,6.75% or below,
kalshi,direct_housing_data,FRM-22NOV10-T6.90,FRM-22NOV10,finalized,3513.0,774.0,2022-11-04 06:20:21.246236-07:00,2022-11-10 06:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.90%?,Above 6.90%,6.90% or below,
kalshi,direct_housing_data,FRM-22FEB03-T3.55,FRM-22FEB03,finalized,3509.0,2001.0,2022-01-28 06:39:21.546032-08:00,2022-02-03 06:55:00-08:00,Will the **30-Year Fixed Rate Mortgage** rate be above 3.55%?,Above 3.55%%,3.55%% or below,
kalshi,direct_housing_data,HPI-21NOV-T1,HPI-21NOV,finalized,3480.0,2347.0,2022-01-05 06:33:14.021363-08:00,2022-01-26 07:01:10.337887-08:00,Will the **Housing Price Index** rise by more than 1% between October and November 2021?,Above 1%,1% or below,
kalshi,direct_housing_data,FRM-22AUG11-T5.20,FRM-22AUG11,finalized,3476.0,2048.0,2022-08-05 06:44:41.798252-07:00,2022-08-11 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.20%?,Above 5.20%,5.20% or below,
kalshi,direct_housing_data,FRM-21NOV04-T3.14,FRM-21NOV04,finalized,3468.0,2540.0,2021-10-28 07:13:45.165555-07:00,2021-11-03 17:00:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 3.14% for the week ending November 4?,Above 3.14%%,3.14%% or below,
kalshi,direct_housing_data,FRM-22JUL14-T5.60,FRM-22JUL14,finalized,3454.0,2104.0,2022-07-08 06:27:32.675699-07:00,2022-07-14 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.60%?,Above 5.60%%,5.60%% or below,
kalshi,direct_housing_data,FRM-22DEC22-T6.25,FRM-22DEC22,finalized,3449.0,1427.0,2022-12-16 06:14:34.599612-08:00,2022-12-22 08:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.25%?,Above 6.25%,6.25% or below,
kalshi,direct_housing_data,FRM-22MAY05-T5.10,FRM-22MAY05,finalized,3388.0,2394.0,2022-04-29 06:11:25.567387-07:00,2022-05-05 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.10%?,Above 5.10%%,5.10%% or below,
kalshi,direct_housing_data,FRM-22OCT06-T6.80,FRM-22OCT06,finalized,3320.0,1905.0,2022-09-30 06:22:47.163514-07:00,2022-10-06 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.80%?,Above 6.80%,6.80% or below,
kalshi,direct_housing_data,FRM-22SEP15-T5.85,FRM-22SEP15,finalized,3294.0,2043.0,2022-09-09 06:11:45.871103-07:00,2022-09-15 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.85%?,Above 5.85%,5.85% or below,
