ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
KXFRIDMAN-26JAN01-VP,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4,2025-03-13 22:37:00.226106-07:00
KXGOVTRECOGSYRIA-25-RU,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 16:36:11.906995+00:00,0.1,2025-03-19 09:36:11.906995-07:00
KXMARALAGO-26-VZ,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21,2025-03-08 02:35:32.381174-08:00
KXMOONMAN-31-R,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1,2024-11-30 23:12:28.152982-08:00
KXNOBELPEACE-25-VZEL,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-17 09:33:41.337778+00:00,0.16,2025-03-17 02:33:41.337778-07:00
KXPRESVISIT-26-RU,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 19:51:11.252711+00:00,0.32,2025-03-19 12:51:11.252711-07:00
KXPRESVISIT-26-UKR,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 15:27:39.127666+00:00,0.21,2025-03-19 08:27:39.127666-07:00
KXSECSTATEVISIT-26-RUS,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-15 15:31:21.772688+00:00,0.66,2025-03-15 08:31:21.772688-07:00
KXUKRAINERESIGN-26,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 23:05:23.485782+00:00,0.24,2025-03-19 16:05:23.485782-07:00
KXUKRIMPEACH-26,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 18:57:22.079943+00:00,0.11,2025-03-19 11:57:22.079943-07:00
KXUSAMBNATO-25-APR,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-18 08:54:56.417816+00:00,0.26,2025-03-18 01:54:56.417816-07:00
KXUSAMBNATO-25-DEC,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,,,
KXUSAMBNATO-25-JUL,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,,,
KXUSAMBNATO-25-JUN,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,,,
KXUSAMBNATO-25-MAY,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-18 08:53:59.487558+00:00,0.64,2025-03-18 01:53:59.487558-07:00
KXWHVISIT-25-VP,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-18 07:45:33.841157+00:00,0.02,2025-03-18 00:45:33.841157-07:00
KXWLEADER-25-VP,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 08:08:06.146376+00:00,0.84,2025-03-19 01:08:06.146376-07:00
KXWLEADERUKR-25MAR-VZEL,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 23:41:21.972952+00:00,0.1,2025-03-19 16:41:21.972952-07:00
KXELECTUKRAINE-26,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 08:19:42.290464+00:00,0.43,2025-03-20 01:19:42.290464-07:00
KXFRIDMAN-26JAN01-VP,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4,2025-03-13 22:37:00.226106-07:00
KXGOVTRECOGSYRIA-25-RU,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-19 16:36:11.906995+00:00,0.1,2025-03-19 09:36:11.906995-07:00
KXMARALAGO-26-VZ,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21,2025-03-08 02:35:32.381174-08:00
KXMOONMAN-31-R,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1,2024-11-30 23:12:28.152982-08:00
KXNOBELPEACE-25-VZEL,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-17 09:33:41.337778+00:00,0.16,2025-03-17 02:33:41.337778-07:00
KXPRESVISIT-26-RU,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 08:17:57.412874+00:00,0.32,2025-03-20 01:17:57.412874-07:00
KXPRESVISIT-26-UKR,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-19 15:27:39.127666+00:00,0.21,2025-03-19 08:27:39.127666-07:00
KXSECSTATEVISIT-26-RUS,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71,2025-03-20 02:32:59.860002-07:00
KXUKRAINERESIGN-26,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 08:57:14.474209+00:00,0.24,2025-03-20 01:57:14.474209-07:00
KXUKRIMPEACH-26,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 08:54:49.019648+00:00,0.12,2025-03-20 01:54:49.019648-07:00
KXUSAMBNATO-25-APR,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-18 08:54:56.417816+00:00,0.26,2025-03-18 01:54:56.417816-07:00
KXUSAMBNATO-25-DEC,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,,,
KXUSAMBNATO-25-JUL,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,,,
KXUSAMBNATO-25-JUN,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,,,
KXUSAMBNATO-25-MAY,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-18 08:53:59.487558+00:00,0.64,2025-03-18 01:53:59.487558-07:00
KXWHVISIT-25-VP,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-18 07:45:33.841157+00:00,0.02,2025-03-18 00:45:33.841157-07:00
KXWLEADER-25-VP,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 11:48:28.821253+00:00,0.84,2025-03-20 04:48:28.821253-07:00
KXWLEADERUKR-25MAR-VZEL,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 11:46:19.991510+00:00,0.13,2025-03-20 04:46:19.991510-07:00
KXELECTUKRAINE-26,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 08:19:42.290464+00:00,0.43,2025-03-20 01:19:42.290464-07:00
KXFRIDMAN-26JAN01-VP,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4,2025-03-13 22:37:00.226106-07:00
KXGOVTRECOGSYRIA-25-RU,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 13:10:03.403311+00:00,0.1,2025-03-20 06:10:03.403311-07:00
KXMARALAGO-26-VZ,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-08 10:35:32.381174+00:00,0.21,2025-03-08 02:35:32.381174-08:00
KXMOONMAN-31-R,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2024-12-01 07:12:28.152982+00:00,0.1,2024-11-30 23:12:28.152982-08:00
KXNOBELPEACE-25-VZEL,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 22:07:44.098391+00:00,0.18,2025-03-20 15:07:44.098391-07:00
KXPRESVISIT-26-RU,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 22:28:39.396610+00:00,0.33,2025-03-20 15:28:39.396610-07:00
KXPRESVISIT-26-UKR,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 22:41:35.221342+00:00,0.18,2025-03-20 15:41:35.221342-07:00
KXSECSTATEVISIT-26-RUS,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 09:32:59.860002+00:00,0.71,2025-03-20 02:32:59.860002-07:00
KXUKRAINERESIGN-26,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 08:57:14.474209+00:00,0.24,2025-03-20 01:57:14.474209-07:00
KXUKRIMPEACH-26,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 21:31:34.322881+00:00,0.13,2025-03-20 14:31:34.322881-07:00
KXUSAMBNATO-25-APR,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 18:06:21.578923+00:00,0.29,2025-03-20 11:06:21.578923-07:00
KXUSAMBNATO-25-DEC,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,,,
KXUSAMBNATO-25-JUL,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,,,
KXUSAMBNATO-25-JUN,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,,,
KXUSAMBNATO-25-MAY,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 18:59:46.577524+00:00,0.69,2025-03-20 11:59:46.577524-07:00
KXWHVISIT-25-VP,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-18 07:45:33.841157+00:00,0.02,2025-03-18 00:45:33.841157-07:00
KXWLEADER-25-VP,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 11:48:28.821253+00:00,0.84,2025-03-20 04:48:28.821253-07:00
KXWLEADERUKR-25MAR-VZEL,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 23:53:36.878962+00:00,0.09,2025-03-20 16:53:36.878962-07:00
KXELECTUKRAINE-26,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-20 08:19:42.290464+00:00,0.43,2025-03-20 01:19:42.290464-07:00
KXFRIDMAN-26JAN01-VP,2025-03-21 12:00:00+00:00,2025_03_21_open_0500_PT,2025-03-21 05:00:00-07:00,2025-03-14 05:37:00.226106+00:00,0.4,2025-03-13 22:37:00.226106-07:00
