ticker,event_ticker,market_type,title,yes_sub_title,no_sub_title,status,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,volume_24h,open_interest,result,created_time,open_time,close_time,_fetched_at,created_ts,close_ts,search_text
KXUKRIMPEACH-26,KXUKRIMPEACH-26,binary,Will Zelenskyy be removed from office by the Ukrainian parliamenent before 2026?,Before 2026,Before 2026,active,4,5,95,96,4,32893,104,12130,,2025-03-05 08:33:32.142719-08:00,2025-03-05 09:00:00-08:00,2026-01-01 07:00:00-08:00,2025-11-24 00:59:09.810999,2025-03-05 08:33:32.142719,2026-01-01 07:00:00.000000,will zelenskyy be removed from office by the ukrainian parliamenent before 2026? kxukrimpeach-26 kxukrimpeach-26 before 2026 before 2026
KXMUSKVISIT-25-RUS,KXMUSKVISIT-25,binary,What countries will Elon Musk visit this year?,Russia,Russia,active,0,6,94,100,1,213,0,202,,2025-03-18 05:34:11.150579-07:00,2025-03-18 07:00:00-07:00,2025-12-31 07:00:00-08:00,2025-11-24 00:49:01.456421,2025-03-18 05:34:11.150579,2025-12-31 07:00:00.000000,what countries will elon musk visit this year? kxmuskvisit-25-rus kxmuskvisit-25 russia russia
KXTPSUKR-25,KXTPSUKR-25,binary,Will Temporary Protected Status for Ukraine end in 2025?,In 2025,In 2025,active,3,7,93,97,4,11557,0,6012,,2025-03-18 18:34:52.385787-07:00,2025-03-19 07:00:00-07:00,2025-12-31 07:00:00-08:00,2025-11-24 00:49:00.372870,2025-03-18 18:34:52.385787,2025-12-31 07:00:00.000000,will temporary protected status for ukraine end in 2025? kxtpsukr-25 kxtpsukr-25 in 2025 in 2025
KXFLIGHTSRUSSIA-25,KXFLIGHTSRUSSIA-25,binary,Will U.S. direct flights to Russia resume in 2025?,In 2025,In 2025,active,1,4,96,99,2,37136,0,8913,,2025-03-18 18:55:27.941249-07:00,2025-03-19 07:00:00-07:00,2025-12-31 07:00:00-08:00,2025-11-24 00:49:00.372870,2025-03-18 18:55:27.941249,2025-12-31 07:00:00.000000,will u.s. direct flights to russia resume in 2025? kxflightsrussia-25 kxflightsrussia-25 in 2025 in 2025
KXBOYCOTTWC-26,KXBOYCOTTWC-26,binary,Will any NATO member state boycott the USA World Cup in 2026?,Before 2026,Before 2026,active,7,14,86,93,8,2259,32,1006,,2025-04-01 06:15:35.633521-07:00,2025-04-01 07:00:00-07:00,2026-06-11 07:00:00-07:00,2025-11-24 00:37:38.518478,2025-04-01 06:15:35.633521,2026-06-11 07:00:00.000000,will any nato member state boycott the usa world cup in 2026? kxboycottwc-26 kxboycottwc-26 before 2026 before 2026
KXWHVISIT-26JAN-VPUT,KXWHVISIT-26JAN,binary,"Will Vladimir Putin visit the White House before Jan 1, 2026?",Vladimir Putin,Vladimir Putin,active,2,8,92,98,7,23188,0,7015,,2025-05-01 16:14:42.680313-07:00,2025-05-02 07:00:00-07:00,2026-01-01 07:00:00-08:00,2025-11-24 00:10:20.509797,2025-05-01 16:14:42.680313,2026-01-01 07:00:00.000000,"will vladimir putin visit the white house before jan 1, 2026? kxwhvisit-26jan-vput kxwhvisit-26jan vladimir putin vladimir putin"
KXWHVISIT-26JAN-VZEL,KXWHVISIT-26JAN,binary,"Will Volodymyr Zelenskyy visit the White House before Jan 1, 2026?",Volodymyr Zelenskyy,Volodymyr Zelenskyy,finalized,0,100,0,100,99,36535,0,19006,yes,2025-05-01 16:14:42.680313-07:00,2025-05-02 07:00:00-07:00,2025-08-23 11:38:52.146315-07:00,2025-11-24 00:10:20.509797,2025-05-01 16:14:42.680313,2025-08-23 11:38:52.146315,"will volodymyr zelenskyy visit the white house before jan 1, 2026? kxwhvisit-26jan-vzel kxwhvisit-26jan volodymyr zelenskyy volodymyr zelenskyy"
KXMENWORLDCUP-26-UA,KXMENWORLDCUP-26,binary,Will the Ukraine win the 2026 Men's World Cup?,Ukraine,Ukraine,active,0,1,99,100,1,10745,0,10745,,2025-05-14 11:24:06.529784-07:00,2025-05-15 07:00:00-07:00,2028-07-18 07:00:00-07:00,2025-11-23 23:58:26.988019,2025-05-14 11:24:06.529784,2028-07-18 07:00:00.000000,will the ukraine win the 2026 men's world cup? kxmenworldcup-26-ua kxmenworldcup-26 ukraine ukraine
KXEUROVISIONTELEVOTE-25-UKR,KXEUROVISIONTELEVOTE-25,binary,Who will win the Televote in Eurovision 2025?,Ukraine,Ukraine,active,0,100,0,100,0,0,0,0,,2025-05-15 14:56:04.975108-07:00,2025-05-16 15:30:00-07:00,2025-12-31 07:00:00-08:00,2025-11-23 23:57:19.936313,2025-05-15 14:56:04.975108,2025-12-31 07:00:00.000000,who will win the televote in eurovision 2025? kxeurovisiontelevote-25-ukr kxeurovisiontelevote-25 ukraine ukraine
KXFTACOUNTRIES-26-RUS,KXFTACOUNTRIES-26,binary,"Will Trump make a new  before Jan 1, 2026?",Russia,Russia,active,1,5,95,99,5,10741,0,4546,,2025-05-17 13:05:30.654542-07:00,2025-05-17 13:10:00-07:00,2026-01-01 07:00:00-08:00,2025-11-23 23:55:52.798936,2025-05-17 13:05:30.654542,2026-01-01 07:00:00.000000,"will trump make a new  before jan 1, 2026? kxftacountries-26-rus kxftacountries-26 russia russia"
KXLEADEROUT-25-VPUT,KXLEADEROUT-25,binary,Vladimir Putin out this year?,Vladimir Putin,Vladimir Putin,finalized,0,100,0,100,2,4073,0,3152,no,2025-05-19 08:31:28.775998-07:00,2025-05-20 07:00:00-07:00,2025-08-01 07:00:00-07:00,2025-11-23 23:54:13.497990,2025-05-19 08:31:28.775998,2025-08-01 07:00:00.000000,vladimir putin out this year? kxleaderout-25-vput kxleaderout-25 vladimir putin vladimir putin
KXTIMEDECADE20S-30-VZEL,KXTIMEDECADE20S-30,binary,Who will Time name as Person of the Decade?,Volodymyr Zelenskyy,Volodymyr Zelenskyy,active,5,10,90,95,10,797,0,747,,2025-05-29 19:02:35.850153-07:00,2025-05-30 07:00:00-07:00,2030-01-31 07:00:00-08:00,2025-11-23 23:45:17.113846,2025-05-29 19:02:35.850153,2030-01-31 07:00:00.000000,who will time name as person of the decade? kxtimedecade20s-30-vzel kxtimedecade20s-30 volodymyr zelenskyy volodymyr zelenskyy
KXBILATERALMENTION-25JUN06-NATO,KXBILATERALMENTION-25JUN06,binary,What will Trump say during next bilateral meeting with a foreign leader in the Oval Office?,NATO,NATO,finalized,0,100,0,100,1,13242,0,4775,no,2025-06-05 18:01:18.417885-07:00,2025-06-06 07:00:00-07:00,2025-07-16 20:23:45.910361-07:00,2025-11-23 23:39:01.769932,2025-06-05 18:01:18.417885,2025-07-16 20:23:45.910361,what will trump say during next bilateral meeting with a foreign leader in the oval office? kxbilateralmention-25jun06-nato kxbilateralmention-25jun06 nato nato
KXPOPEVISITNEXT-26-UA,KXPOPEVISITNEXT-26,binary,Which country will the Pope visit next?,Ukraine,Ukraine,active,0,6,94,100,8,2263,0,2038,,2025-06-18 15:36:17.896349-07:00,2025-06-19 07:00:00-07:00,2026-01-01 07:00:00-08:00,2025-11-23 23:28:19.409784,2025-06-18 15:36:17.896349,2026-01-01 07:00:00.000000,which country will the pope visit next? kxpopevisitnext-26-ua kxpopevisitnext-26 ukraine ukraine
KXLEADERMEETPOPE-26-VPUT,KXLEADERMEETPOPE-26,binary,Who will Pope Leo XIV meet with before 2026?,Vladimir Putin,Vladimir Putin,active,2,7,93,98,1,1402,0,844,,2025-06-18 15:39:15.537975-07:00,2025-06-19 07:00:00-07:00,2026-01-01 07:00:00-08:00,2025-11-23 23:28:19.409784,2025-06-18 15:39:15.537975,2026-01-01 07:00:00.000000,who will pope leo xiv meet with before 2026? kxleadermeetpope-26-vput kxleadermeetpope-26 vladimir putin vladimir putin
KXPOPEVISITSECOND-26-UA,KXPOPEVISITSECOND-26,binary,Which country will the Pope visit next?,Ukraine,Ukraine,inactive,0,0,100,100,0,0,0,0,,2025-06-18 19:20:30.062750-07:00,2025-06-19 07:00:00-07:00,2026-01-01 07:00:00-08:00,2025-11-23 23:28:19.409784,2025-06-18 19:20:30.062750,2026-01-01 07:00:00.000000,which country will the pope visit next? kxpopevisitsecond-26-ua kxpopevisitsecond-26 ukraine ukraine
