exchange,source_slug,market_id,event_group,outcome_index,outcome_name,token_id,synthetic_binary,title,yes_sub_title,no_sub_title,volume,created_at,end_date,resolver_type,resolver_evidence,market_family,predicate,subject,obj,scope,deadline,season,threshold,direction,contract_key,entity_signature,parse_confidence,parse_reason
polymarket,zelensky_suit,540816,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,0,Yes,8501497159083948713316135768103773293754490207922884688769443031624417212426,False,Russia-Ukraine Ceasefire before GTA VI?,,,1321551.299354,2025-05-02 08:03:10.397014-07:00,2026-07-31 05:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,543206,0x321c53d4b3f6f61ae3baa14a2c9d4dc3511aefa8766688a2694f2974a323afb8,0,Yes,97844902427391104955625058441951273034989047387329126413058214310169573089366,False,Will Pope Leo visit Ukraine first?,,,85885.367725,2025-05-09 09:57:35.467265-07:00,2025-12-31 04:00:00-08:00,,,leader_contact,visit,pope_leo_xiv,ukraine_first,,,,,,leader_contact|visit|pope_leo_xiv|ukraine_first,leader_contact|visit|pope_leo_xiv|ukraine_first,0.92,leader contact template
polymarket,zelensky_suit,545862,0xb811d71dfb09aa60982c9fb7acce9bb961c31b56fa9d3c884f260caf9b339a58,0,Yes,32766313353681529049419012789121576597396047699264482506852916797918747970002,False,Will the Vatican host Russia-Ukraine peace talks before September?,,,236348.720672,2025-05-19 14:00:48.162409-07:00,2025-08-31 05:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,545879,0x35ae72ecea68142496d891d6b74c3ea7069e8ac7b066542298691b43d74da891,0,Yes,107578854187704970199346205360596786540836334890172752393413831106019335136283,False,Will Putin meet with Zelenskyy in 2025?,,,3149483.292259,2025-05-19 15:30:22.168295-07:00,2025-12-31 04:00:00-08:00,,,leader_contact,meet,vladimir_putin,volodymyr_zelenskyy,,year:2025,,,,leader_contact|meet|vladimir_putin|volodymyr_zelenskyy|year:2025,leader_contact|meet|vladimir_putin|volodymyr_zelenskyy,0.92,leader contact template
polymarket,zelensky_suit,545880,0x9ba0e12a339b01159f86cd697890e24ab2a25749cdaa8beb6a1a744fb4a93610,0,Yes,54741055891029747885517210657770757419022983355559924196416665512897299095102,False,Will Russia capture Pokrovsk by August 31?,,,1797521.530595,2025-05-19 15:49:27.279348-07:00,2025-08-31 05:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,546096,0xca89fb54acccef8287e69a22b0a6133bd8d5c6311f1a51b0c7d5a72ed06033b1,0,Yes,26826908066094679861561975803786560675585135374343645230929161538391680292655,False,Will Pope Leo XIV meet with Vladimir Putin in 2025?,,,21575.186162,2025-05-20 12:23:57.727028-07:00,2025-12-31 04:00:00-08:00,,,leader_contact,meet,pope_leo_xiv,vladimir_putin,,year:2025,,,,leader_contact|meet|pope_leo_xiv|vladimir_putin|year:2025,leader_contact|meet|pope_leo_xiv|vladimir_putin,0.92,leader contact template
polymarket,zelensky_suit,546805,0x5fa63a3f820801f6bab4f95a9fc4453c004ab1881b6be2c2cb26c812f7efb997,0,Yes,52764520351434119047034479962184961804730800614485355573059721230866709386316,False,Will Russia capture Kostyantynivka by August 31?,,,820505.02216,2025-05-22 14:06:55.225812-07:00,2025-08-31 05:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,546806,0x1df6862b69a47872e75864cac21b9ae9ea0cb552884d38aea9170c5fe5321bc6,0,Yes,58798923314292213706108095296759377158063350000880445982478753522386393910973,False,Will Russia capture Kostyantynivka by December 31?,,,1307057.244169,2025-05-22 14:11:26.543541-07:00,2025-12-31 04:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,547955,0x25a4ea049d3bd46fe71ad8676feef9098bb37cbd9d9336280dd6188a7659813c,0,Yes,3386318893882526380002473491350762301245935618035749142205059658160331618221,False,NATO article 5 in 2025?,,,299461.748779,2025-05-28 09:58:17.692381-07:00,2025-12-31 04:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,548080,0x0d82012de5e3275b934dcf446b1cce93705b37e9ffe22470fd6caf7411d1d1f6,0,Yes,66044657638810295187363565799805709250672136616354369296323178255753996444656,False,US x Russia military clash by December 31?,,,417000.888679,2025-05-28 14:26:40.735412-07:00,2025-12-31 04:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,548081,0x1a5edf9d6f7813a5289f8e410c5a033abbd52576fc1a2d44aa34f2a4c86303c1,0,Yes,4666378264794326642953996404265380944436685965172624720882627526765827537319,False,Will Russia invade Finland in 2025?,,,199993.784886,2025-05-28 14:37:45.035564-07:00,2025-12-31 04:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,548083,0x226c6d5a8de377a56641a498191c5e1f3792b81618841afb8879a5d817f13771,0,Yes,2942567299640587090091139148545794488615196042290090815333947905974415750919,False,Will Russia invade a NATO country in 2025?,,,1449791.54944,2025-05-28 14:58:51.243912-07:00,2025-12-31 04:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,549369,0x2e43d977463a0d78a859fdd95d1570287b888ed6c9d4670532d46c22a3a7478f,0,Yes,89244604917884926160625177966654861361773687111351363433133890695112579712991,False,Will Russia capture Sumy before October?,,,381269.57535,2025-06-02 16:22:04.663794-07:00,2025-09-29 17:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,550708,0xfef0954af0d43ea46c1ac246ac009dbcd0f76d36fd93b78d3586b23b386028ef,0,Yes,90954386001801116059251303598368900188182195794057114134644084985964418752977,False,Will Ukraine qualify for the 2026 FIFA World Cup?,,,129604.909238,2025-06-07 19:11:25.621854-07:00,2026-04-11 17:00:00-07:00,,,sports,qualify,ukraine,,fifa_world_cup,,2026,,,sports|qualify|ukraine|fifa_world_cup|2026,sports|qualify|ukraine|fifa_world_cup|2026,0.86,sports outcome template
polymarket,zelensky_suit,551479,0x81bb93bd9d3380269da1e9e25498ed9c939b5ad34316cdf232ec3624eaa6c77b,0,Yes,22961947081065929185889945206271802888185477911246905274201269809573984610013,False,Will Trump increase sanctions on Russia before August?,,,686835.999031,2025-06-10 14:44:44.469259-07:00,2025-07-31 16:55:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,553680,0xc83fa4a9f366672164f699d4ee488e64c60ef2a294e294cb7db07d00156c4de8,0,Yes,17588477562114361222775795025562060064301035796869724551138530695887448157922,False,Will Putin meet with Zelenskyy before August?,,,214318.522558,2025-06-19 07:30:23.891327-07:00,2025-07-30 17:00:00-07:00,,,leader_contact,meet,vladimir_putin,volodymyr_zelenskyy,,before:2025-08-01,,,,leader_contact|meet|vladimir_putin|volodymyr_zelenskyy|before:2025-08-01,leader_contact|meet|vladimir_putin|volodymyr_zelenskyy,0.92,leader contact template
polymarket,zelensky_suit,554584,0x3a49d5b63ba20b899ebd22215daa5a9c8d21048af9b8b8300ce5a80c9d718971,0,Yes,66257878511319385296609221381166524829851881291307079841471489066734594423126,False,Will Russia capture Yablunivka before August?,,,285963.558516,2025-06-20 16:21:39.951486-07:00,2025-07-31 21:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
